pause,study,plot,depth.cm,soilmass,cup_label,sample.id,mL_water,start,end,ppm.approx,readtime,readdate,temp1_C,temp2_C,NOTES,time,ppm,line,ppm.corr,days,ugC.L,ugC.g.day
1,CCNRD,101,15,10.038,083A,101CCNRD15,2.43,11/10/25 10:44,11/10/25 10:46,3506,10:45,10312025,26,27,I think these were low readings. I calibrated the whole range with the next run and have much higher numbers. Considering rerunning these samples,10:45:02,3339.71,109,2691.757278,1.000023148,1320.265882,122.582965
2,CCNRD,101,15,10.0132,083B,101CCNRD15,2.43,11/10/25 10:46,11/10/25 10:48,3538,10:47,10312025,26,27,,10:47:02,3360.505,290,2712.552278,1.000023148,1330.465513,123.8359224
3,CCNRD,101,15,10.0162,083C,101CCNRD15,2.43,11/10/25 10:48,11/10/25 10:50,3277,10:49,10312025,26,27,,10:49:00,3169.491667,455,2521.538944,1.000023148,1236.776387,115.0811278
4,CCNRD,102,15,10.004,087A,102CCNRD15,2.43,11/10/25 10:50,11/10/25 10:52,2298,10:51,10312025,26,27,,10:51:01,2352.328333,600,1704.375611,1.000023148,835.9702372,77.8812736
5,CCNRD,102,15,10.0152,087B,102CCNRD15,2.43,11/10/25 10:52,11/10/25 10:54,2494,10:53,10312025,26,27,,10:53:01,2414.795,755,1766.842278,1.000023148,866.6091843,80.64539498
6,CCNRD,102,15,10.0008,087C,102CCNRD15,2.43,11/10/25 10:54,11/10/25 10:56,2559,10:55,10312025,26,27,,10:55:01,2555.046667,908,1907.093944,1.000023148,935.4004873,87.17235163
7,CCNRD,103,15,10.02,088A,103CCNRD15,2.43,11/10/25 10:56,11/10/25 10:58,2918,10:57,10312025,26,27,,10:57:08,2853.471667,1064,2205.518944,1.000023148,1081.773397,100.6200406
8,CCNRD,103,15,9.9862,088B,103CCNRD15,2.43,11/10/25 10:58,11/10/25 11:00,1874,10:59,10312025,26,27,bad lid?,10:59:03,1767.968333,1210,1120.015611,1.000023148,549.3505716,51.27022618
9,CCNRD,103,15,10.0116,088C,103CCNRD15,2.43,11/10/25 11:00,11/10/25 11:02,2918,11:01,10312025,26,27,,11:01:03,2760.585,1361,2112.632278,1.000023148,1036.213904,96.46323853
10,CCNRD,104,15,9.988,089A,104CCNRD15,2.43,11/10/25 11:02,11/10/25 11:04,3559,11:03,10312025,26,27,,11:03:03,3443.65,1538,2795.697278,1.000023148,1371.246867,127.9537525
11,CCNRD,104,15,10.0263,089B,104CCNRD15,2.43,11/10/25 11:04,11/10/25 11:06,3009,11:05,10312025,26,27,bad lid?,11:05:02,2823.726667,1684,2175.773944,1.000023148,1067.183929,99.20064445
12,CCNRD,104,15,10.0199,089C,104CCNRD15,2.43,11/10/25 11:06,11/10/25 11:08,3559,11:07,10312025,26,27,,11:07:05,3447.591667,1860,2799.638944,1.000023148,1373.180194,127.7262189
13,CCNRD,105,15,10.0294,090A,105CCNRD15,2.43,11/10/25 11:08,11/10/25 11:10,2309,11:09,10312025,26,27,,11:09:02,2314.206667,2024,1666.253944,1.000023148,817.2721413,75.94648091
14,CCNRD,105,15,9.9982,090B,105CCNRD15,2.43,11/10/25 11:10,11/10/25 11:12,2734,11:11,10312025,26,27,,11:11:02,2530.053333,2195,1882.100611,1.000023148,923.1416386,86.05229013
