"pause","study","plot","depth.cm","soilmass","cup_label","sample.id","mL_water","start","end","ppm.approx","readtime","readdate","temp1_C","temp2_C","NOTES","time","ppm","line","ppm.corr","days","ugC.L","ugC.g.day"
1,"CCNRD","110","15",10.0162,"90a","110CCNRD15","2.43",2025-12-29 12:32:00,2025-12-29 12:34:00,7152,"12:33",20251222,26,NA,"run 7 text file started","12:33:16",7067.42333333333,133,6354.60051851852,1.00002314814815,3116.83461575089,290.012441905659
2,"CCNRD","110","15",10.0386,"90b","110CCNRD15","2.43",2025-12-29 12:34:00,2025-12-29 12:36:00,6702,"12:35",20251222,26,NA,"","12:35:47",6472.185,270,5759.36218518518,1.00002314814815,2824.87929353219,262.260331005079
3,"CCNRD","110","15",10.0001,"90c","110CCNRD15","2.43",2025-12-29 12:36:00,2025-12-29 12:38:00,5377,"12:37",20251222,26,NA,"","12:37:41",5388.345,426,4675.52218518519,1.00002314814815,2293.27230736667,213.72589437949
4,"CCNRD","111","15",10.0202,"91a","111CCNRD15","2.43",2025-12-29 12:38:00,2025-12-29 12:40:00,5738,"12:39",20251222,26,NA,"","12:39:27",5520.29333333333,572,4807.47051851852,1.00002314814815,2357.99095201247,219.316650065039
5,"CCNRD","111","15",10.0455,"91b","111CCNRD15","2.43",2025-12-29 12:40:00,2025-12-29 12:42:00,5859,"12:41",20251222,26,NA,"","12:41:25",5630.38166666667,736,4917.55885185185,1.00002314814815,2411.98760012964,223.773869705459
6,"CCNRD","111","15",10.0081,"91c","111CCNRD15","2.43",2025-12-29 12:42:00,2025-12-29 12:44:00,5979.5,"12:43",20251222,26,NA,"","12:43:31",5961.75833333333,907,5248.93551851852,1.00002314814815,2574.52280002283,239.745776716997
7,"CCNRD","112","15",10.0112,"92a","112CCNRD15","2.43",2025-12-29 12:44:00,2025-12-29 12:46:00,6582,"12:45",20251222,26,NA,"","12:45:30",6331.5,1069,5618.67718518519,1.00002314814815,2755.87544716308,256.554305445022
8,"CCNRD","112","15",10.0217,"92b","112CCNRD15","2.43",2025-12-29 12:46:00,2025-12-29 12:48:00,5979.5,"12:47",20251222,26,NA,"","12:47:31",5784.785,1245,5071.96218518519,1.00002314814815,2487.72007972741,231.34811911063
9,"CCNRD","112","15",10.0196,"92c","112CCNRD15","2.43",2025-12-29 12:48:00,2025-12-29 12:50:00,6220.5,"12:49",20251222,26,NA,"","12:49:16",6031.54166666667,1392,5318.71885185185,1.00002314814815,2608.7504604874,242.654312457719
10,"CCNRD","201","15",10.0129,"93a","201CCNRD15","2.43",2025-12-29 12:50:00,2025-12-29 12:52:00,7182,"12:51",20251222,26,NA,"","12:51:28",7019.64833333333,1563,6306.82551851852,1.00002314814815,3093.40170705213,287.926939771677
11,"CCNRD","201","15",10.0022,"93b","201CCNRD15","2.43",2025-12-29 12:52:00,2025-12-29 12:54:00,7426,"12:53",20251222,26,NA,"","12:53:28",7368.77333333333,1731,6655.95051851852,1.00002314814815,3264.64219369687,304.19068750108
12,"CCNRD","201","15",10.0042,"93c","201CCNRD15","2.43",2025-12-29 12:54:00,2025-12-29 12:56:00,7305.5,"12:55",20251222,26,NA,"","12:55:11",7105.49833333333,1867,6392.67551851852,1.00002314814815,3135.50982242185,292.100069005201
13,"CCNRD","202","15",10.0133,"94a","202CCNRD15","2.43",2025-12-29 12:56:00,2025-12-29 12:58:00,5497.5,"12:57",20251222,26,NA,"","12:57:07",5374.18333333333,1997,4661.36051851852,1.00002314814815,2286.32622590101,212.797650955244
14,"CCNRD","202","15",10.0024,"94b","202CCNRD15","2.43",2025-12-29 12:58:00,2025-12-29 13:00:00,5256.5,"12:59",20251222,26,NA,"","12:59:15",5206.57,2143,4493.74718518519,1.00002314814815,2204.11444282003,205.369422346709
15,"CCNRD","202","15",10.0097,"94c","202CCNRD15","2.43",2025-12-29 13:00:00,2025-12-29 13:02:00,5738.5,"13:01",20251222,26,NA,"","13:01:18",5696.69666666667,2295,4983.87385185185,1.00002314814815,2444.51409600317,227.602665471246
16,"CCNRD","203","15",10.0027,"95a","203CCNRD15","2.43",2025-12-29 13:02:00,2025-12-29 13:04:00,6205.5,"13:03",20251222,26,NA,"forgot to pause. but then i paused and resume quickly (maybe paused in the next one).","13:04:00",640.118333333333,2389,-72.7044814814815,1.00002314814815,-35.6604390695091,-3.32257889266267
17,"CCNRD","203","15",10.0385,"95b","203CCNRD15","2.43",2025-12-29 13:04:00,2025-12-29 13:06:00,6054.5,"13:05",20251222,26,NA,"","13:05:41",6004.71833333333,2517,5291.89551851852,1.00002314814815,2595.59402467377,240.976005852907
18,"CCNRD","203","15",10.0208,"95c","203CCNRD15","2.43",2025-12-29 13:06:00,2025-12-29 13:08:00,6205.5,"13:07",20251222,26,NA,"","13:07:11",6064.76,2629,5351.93718518519,1.00002314814815,2625.04354624616,244.140582940327
19,"CCNRD","204","15",10.0178,"96a","204CCNRD15","2.43",2025-12-29 13:08:00,2025-12-29 13:10:00,5149.5,"13:09",20251222,26,NA,"","13:09:15",5125.12,2740,4412.29718518519,1.00002314814815,2164.1644603289,201.337078825982
20,"CCNRD","204","15",10.0209,"96b","204CCNRD15","2.43",2025-12-29 13:10:00,2025-12-29 13:12:00,5601.5,"13:11",20251222,26,NA,"","13:11:19",5586.74166666667,2895,4873.91885185185,1.00002314814815,2390.58284585201,222.332488989662
21,"CCNRD","204","15",10.0124,"96c","204CCNRD15","2.43",2025-12-29 13:12:00,2025-12-29 13:14:00,5903.5,"13:13",20251222,26,NA,"","13:13:17",5857.635,3039,5144.81218518519,1.00002314814815,2523.45189341038,234.889010105528
22,"CCNRD","205","15",10.026,"97a","205CCNRD15","2.43",2025-12-29 13:14:00,2025-12-29 13:16:00,5752.5,"13:15",20251222,26,NA,"","13:15:22",5649.505,3194,4936.68218518519,1.00002314814815,2421.36730340574,225.080998326929
23,"CCNRD","205","15",9.9999,"97b","205CCNRD15","2.43",2025-12-29 13:16:00,2025-12-29 13:18:00,5300.5,"13:17",20251222,26,NA,"","13:17:50",5170.37333333333,3412,4457.55051851852,1.00002314814815,2186.36052999534,203.766122295571
24,"CCNRD","205","15",10.0085,"97c","205CCNRD15","2.43",2025-12-29 13:18:00,2025-12-29 13:20:00,5451,"13:19",20251222,26,NA,"","13:19:25",5367.64666666667,3520,4654.82385185185,1.00002314814815,2283.12009061698,212.601155956761
25,"CCNRD","206","15",10.0345,"98a","206CCNRD15","2.43",2025-12-29 13:20:00,2025-12-29 13:22:00,5752.5,"13:21",20251222,26,NA,"","13:21:05",5607.84333333333,3641,4895.02051851852,1.00002314814815,2400.9328914489,222.992441888019
26,"CCNRD","206","15",10.0289,"98b","206CCNRD15","2.43",2025-12-29 13:22:00,2025-12-29 13:24:00,6356.5,"13:23",20251222,26,NA,"","13:23:17",6253.81166666667,3791,5540.98885185185,1.00002314814815,2717.77050478823,252.560448148617
27,"CCNRD","206","15",10.0033,"98c","206CCNRD15","2.43",2025-12-29 13:24:00,2025-12-29 13:26:00,6809.5,"13:25",20251222,26,NA,"","13:25:17",6804.08666666667,3940,6091.26385185185,1.00002314814815,2987.67199791658,278.352728328978
28,"CCNRD","207","15",10.0122,"99a","207CCNRD15","2.43",2025-12-29 13:26:00,2025-12-29 13:28:00,6809.5,"13:27",20251222,26,NA,"","13:27:14",6708.44166666667,4085,5995.61885185185,1.00002314814815,2940.75958446828,273.738488047373
29,"CCNRD","207","15",10.0101,"99b","207CCNRD15","2.43",2025-12-29 13:28:00,2025-12-29 13:30:00,5752.5,"13:29",20251222,26,NA,"","13:29:14",5565.23833333333,4221,4852.41551851852,1.00002314814815,2380.03578888249,221.59039463728
30,"CCNRD","207","15",10.0018,"99c","207CCNRD15","2.43",2025-12-29 13:30:00,2025-12-29 13:32:00,6205.5,"13:31",20251222,26,NA,"","13:31:14",6086.5,4364,5373.67718518519,1.00002314814815,2635.70668460537,245.597969209261
31,"blank","blank","blank",NA,"blank","blank","blank",2025-12-29 13:32:00,2025-12-29 13:34:00,NA,"13:33",20251222,26,NA,"","13:33:30",748.0705,4498,35.2476851851852,1.00002314814815,17.2884518846021,NA
32,"blank","blank","blank",NA,"blank","blank","blank",2025-12-29 13:34:00,2025-12-29 13:36:00,NA,"13:35",20251222,26,NA,"","13:35:09",676.142666666667,4611,-36.6801481481482,1.00002314814815,-17.9910531159042,NA
33,"blank","blank","blank",NA,"blank","blank","blank",2025-12-29 13:36:00,2025-12-29 13:38:00,NA,"13:37",20251222,26,NA,"","13:37:19",764.2335,4765,51.4106851851852,1.00002314814815,25.2161568201952,NA
34,"CCNRD","208","15",10.0091,"100a","208CCNRD15","2.43",2025-12-29 13:38:00,2025-12-29 13:40:00,NA,"13:39",20251222,26,NA,"chart frozen(app frozen)","13:39:35",7056.43833333333,4901,6343.61551851852,1.00002314814815,3111.4466408256,289.716472432383
35,"CCNRD","208","15",10.0051,"100b","208CCNRD15","2.43",2025-12-29 13:40:00,2025-12-29 13:42:00,NA,"13:41",20251222,26,NA,"","13:41:05",6648.15833333333,4952,5935.33551851852,1.00002314814815,2911.19152908248,271.178469010504
36,"CCNRD","208","15",10.0121,"100c","208CCNRD15","2.43",2025-12-29 13:42:00,2025-12-29 13:44:00,7089.5,"13:43",20251222,26,NA,"","13:43:31",6962.26166666667,5047,6249.43885185185,1.00002314814815,3065.25442247807,285.329850206685
37,"CCNRD","209","15",10.0168,"101a","209CCNRD15","2.43",2025-12-29 13:44:00,2025-12-29 13:46:00,4661,"13:45",20251222,26,NA,"","13:45:22",4510.34333333333,5189,3797.52051851852,1.00002314814815,1862.62588366487,173.301567374515
38,"CCNRD","209","15",10.0233,"101b","209CCNRD15","2.43",2025-12-29 13:46:00,2025-12-29 13:48:00,5168,"13:47",20251222,26,NA,"","13:47:12",5162.12666666667,5330,4449.30385185185,1.00002314814815,2182.31566579714,202.914321647854
39,"CCNRD","209","15",10.0065,"101c","209CCNRD15","2.43",2025-12-29 13:48:00,2025-12-29 13:50:00,6600.5,"13:49",20251222,26,NA,"","13:49:10",6504.23833333333,5468,5791.41551851852,1.00002314814815,2840.60096456287,264.565913861543
40,"CCNRD","210","15",10.0019,"102a","210CCNRD15","2.43",2025-12-29 13:50:00,2025-12-29 13:52:00,6949.5,"13:51",20251222,26,NA,"","13:51:17",6963.53666666667,5620,6250.71385185185,1.00002314814815,3065.87979052812,285.679103248939
41,"CCNRD","210","15",10.0107,"102b","210CCNRD15","2.43",2025-12-29 13:52:00,2025-12-29 13:54:00,5889.5,"13:53",20251222,26,NA,"","13:53:15",5900.98166666667,5761,5188.15885185185,1.00002314814815,2544.71277216277,236.908248684374
42,"CCNRD","210","15",10.0029,"102c","210CCNRD15","2.43",2025-12-29 13:54:00,2025-12-29 13:56:00,5904.5,"13:55",20251222,26,NA,"","13:55:19",5789.39666666667,5914,5076.57385185185,1.00002314814815,2489.98203187705,231.993675423735
43,"CCNRD","211","15",10.0021,"103a","211CCNRD15","2.43",2025-12-29 13:56:00,2025-12-29 13:58:00,5940.5,"13:57",20251222,26,NA,"","13:57:22",5824.10333333333,6076,5111.28051851852,1.00002314814815,2507.00512243148,233.598413237609
44,"CCNRD","211","15",10.0301,"103b","211CCNRD15","2.43",2025-12-29 13:58:00,2025-12-29 14:00:00,5827.5,"13:59",20251222,26,NA,"","13:59:11",5732.08166666667,6207,5019.25885185185,1.00002314814815,2461.86989870972,228.752418646208
45,"CCNRD","211","15",10.0217,"103c","211CCNRD15","2.43",2025-12-29 14:00:00,2025-12-29 14:02:00,5080,"14:01",20251222,26,NA,"","14:01:16",5009.52,6354,4296.69718518519,1.00002314814815,2107.46442379147,195.985848452109
46,"CCNRD","212","15",10.0011,"104a","212CCNRD15","2.43",2025-12-29 14:02:00,2025-12-29 14:04:00,4953,"14:03",20251222,26,NA,"","14:03:22",4793.635,6511,4080.81218518519,1.00002314814815,2001.57612458832,186.52205926991
47,"CCNRD","212","15",10.0189,"104b","212CCNRD15","2.43",2025-12-29 14:04:00,2025-12-29 14:06:00,5777.5,"14:05",20251222,26,NA,"","14:05:21",5790.70833333333,6670,5077.88551851852,1.00002314814815,2490.62538436775,231.683031723842
48,"CCNRD","212","15",10.0041,"104c","212CCNRD15","2.43",2025-12-29 14:06:00,2025-12-29 14:08:00,5262,"14:07",20251222,26,NA,"","14:07:10",5184.34666666667,6802,4471.52385185185,1.00002314814815,2193.21423683401,204.319064509367
49,"CCNRD","301","15",10.0165,"105a","301CCNRD15","2.43",2025-12-29 14:08:00,2025-12-29 14:10:00,9448.5,"14:09",20251222,26,NA,"","14:09:19",9198.52333333333,6948,8485.70051851852,1.00002314814815,4162.10665610493,387.260381567514
50,"CCNRD","301","15",10.0243,"105b","301CCNRD15","2.43",2025-12-29 14:10:00,2025-12-29 14:12:00,7544,"14:11",20251222,26,NA,"","14:11:11",7453.67833333333,7076,6740.85551851852,1.00002314814815,3306.28680098244,307.391834850353
51,"CCNRD","301","15",10.0056,"105c","301CCNRD15","2.43",2025-12-29 14:12:00,2025-12-29 14:14:00,10337.5,"14:13",20251222,26,NA,"","14:13:15",10181.4666666667,7221,9468.64385185185,1.00002314814815,4644.22536643562,432.589534758056
52,"CCNRD","302","15",10.0052,"106a","302CCNRD15","2.43",2025-12-29 14:14:00,2025-12-29 14:16:00,6210.5,"14:15",20251222,26,NA,"","14:15:15",6050.45166666667,7363,5337.62885185185,1.00002314814815,2618.02552701788,243.867519990747
53,"CCNRD","302","15",10.0376,"106b","302CCNRD15","2.43",2025-12-29 14:16:00,2025-12-29 14:18:00,5829.5,"14:17",20251222,26,NA,"","14:17:06",5680.06833333333,7490,4967.24551851852,1.00002314814815,2436.35815216617,226.212763694939
54,"CCNRD","302","15",10.0167,"106c","302CCNRD15","2.43",2025-12-29 14:18:00,2025-12-29 14:20:00,3607.5,"14:19",20251222,26,NA,"","14:19:12",3577.70833333333,7631,2864.88551851852,1.00002314814815,1405.18264338727,130.741652323043
55,"CCNRD","303","15",10.0035,"107a","303CCNRD15","2.43",2025-12-29 14:20:00,2025-12-29 14:22:00,6337.5,"14:21",20251222,26,NA,"","14:21:16",6278.39333333333,7782,5565.57051851852,1.00002314814815,2729.82743729819,254.325014187616
56,"CCNRD","303","15",10.0235,"107b","303CCNRD15","2.43",2025-12-29 14:22:00,2025-12-29 14:24:00,6061,"14:23",20251222,26,NA,"","14:23:12",5974.41833333333,7911,5261.59551851852,1.00002314814815,2580.73233689622,239.954792474232
57,"CCNRD","303","15",10.0308,"107c","303CCNRD15","2.43",2025-12-29 14:24:00,2025-12-29 14:26:00,5361.5,"14:25",20251222,26,NA,"","14:25:08",5233.65,8045,4520.82718518519,1.00002314814815,2217.39676971824,206.02204731453
58,"CCNRD","304","15",10.0263,"108a","304CCNRD15","2.43",2025-12-29 14:26:00,2025-12-29 14:28:00,8158.5,"14:27",20251222,26,NA,"","14:27:07",8113.76,8172,7400.93718518519,1.00002314814815,3630.04678902474,337.425101411841
59,"CCNRD","304","15",10.0197,"108b","304CCNRD15","2.43",2025-12-29 14:28:00,2025-12-29 14:30:00,7841,"14:29",20251222,26,NA,"","14:29:07",7573.14166666667,8304,6860.31885185185,1.00002314814815,3364.88174358524,312.98314245874
60,"CCNRD","304","15",10.0131,"108c","304CCNRD15","2.43",2025-12-29 14:30:00,2025-12-29 14:32:00,8222,"14:31",20251222,26,NA,"","14:31:04",7931.70166666667,8429,7218.87885185185,1.00002314814815,3540.74995380031,329.558535349524
61,"blank","blank","blank",NA,"blank","blank","blank",2025-12-29 14:32:00,2025-12-29 14:34:00,657.5,"14:33",20251222,26,NA,"","14:33:14",691.4525,8574,-21.3703148148148,1.00002314814815,-10.4818134153675,NA
62,"blank","blank","blank",NA,"blank","blank","blank",2025-12-29 14:34:00,2025-12-29 14:36:00,721,"14:35",20251222,26,NA,"","14:35:09",749.457,8711,36.6341851851852,1.00002314814815,17.9685089837297,NA
63,"blank","blank","blank",NA,"blank","blank","blank",2025-12-29 14:36:00,2025-12-29 14:38:00,657.5,"14:37",20251222,26,NA,"","14:37:08",695.340666666667,8841,-17.4821481481481,1.00002314814815,-8.57472697883085,NA
65,"CCNRD","101","60",10.0018,"143a","101CCNRD60","2",2025-12-29 14:38:00,2025-12-29 14:40:00,2055.5,"14:39",20251222,26,NA,"","14:39:18",2005.705,8994,1292.88218518519,1.00002314814815,634.138989088224,59.0897495636168
66,"CCNRD","101","60",10.0035,"143b","101CCNRD60","2",2025-12-29 14:40:00,2025-12-29 14:42:00,2055.5,"14:41",20251222,26,NA,"","14:41:03",1994.49666666667,9115,1281.67385185185,1.00002314814815,628.641472569852,58.5675304034931
67,"CCNRD","101","60",10.0371,"143c","101CCNRD60","2",2025-12-29 14:42:00,2025-12-29 14:44:00,2437.5,"14:43",20251222,26,NA,"","14:43:17",2403.78666666667,9254,1690.96385185185,1.00002314814815,829.39197390555,77.0118287882237
68,"CCNRD","208","60",10.0114,"144a","208CCNRD60","2",2025-12-29 14:44:00,2025-12-29 14:46:00,1865,"14:45",20251222,26,NA,"","14:45:11",1863.32333333333,9389,1150.50051851852,1.00002314814815,564.302953601538,52.5319314705954
69,"CCNRD","208","60",10.0073,"144b","208CCNRD60","2",2025-12-29 14:46:00,2025-12-29 14:48:00,2564.5,"14:47",20251222,26,NA,"","14:47:04",2546.725,9513,1833.90218518519,1.00002314814815,899.50104590036,83.770404537302
70,"CCNRD","208","60",10.0046,"144c","208CCNRD60","2",2025-12-29 14:48:00,2025-12-29 14:50:00,2585.5,"14:49",20251222,26,NA,"","14:49:03",2531.84,9633,1819.01718518519,1.00002314814815,892.200180469048,83.1129000909507
71,"CCNRD","403","60",10.0178,"145a","403CCNRD60","2",2025-12-29 14:50:00,2025-12-29 14:52:00,2329,"14:51",20251222,26,NA,"","14:51:03",2306.09,9748,1593.26718518519,1.00002314814815,781.473249255156,72.7022109778891
72,"CCNRD","403","60",10.0229,"145b","403CCNRD60","2",2025-12-29 14:52:00,2025-12-29 14:54:00,2072,"14:53",20251222,26,NA,"","14:53:09",2063.58166666667,9881,1350.75885185185,1.00002314814815,662.526611187401,61.6049754621248
73,"CCNRD","403","60",10.0128,"145c","403CCNRD60","2",2025-12-29 14:54:00,2025-12-29 14:56:00,2200,"14:55",20251222,26,NA,"","14:55:13",2145.3,10022,1432.47718518519,1.00002314814815,702.608207085137,65.3978598626476
74,"CCNRD","111","60",10.0136,"146a","111CCNRD60","2",2025-12-29 14:56:00,2025-12-29 14:58:00,2319.5,"14:57",20251222,26,NA,"","14:57:10",2293.98333333333,10161,1581.16051851852,1.00002314814815,775.535113940739,72.1800346656614
75,"CCNRD","111","60",10.0292,"146b","111CCNRD60","2",2025-12-29 14:58:00,2025-12-29 15:00:00,2319.5,"14:59",20251222,26,NA,"","14:59:14",2214.02833333333,10307,1501.20551851852,1.00002314814815,736.318406143589,68.4234903587223
76,"CCNRD","111","60",10.0091,"146c","111CCNRD60","2",2025-12-29 15:00:00,2025-12-29 15:02:00,2190,"15:01",20251222,26,NA,"","15:01:13",2167.16666666667,10439,1454.34385185185,1.00002314814815,713.333473512057,66.4206979808645
77,"CCNRD","112","90",10.0191,"147a","112CCNRD90","2",2025-12-29 15:02:00,2025-12-29 15:04:00,1741.5,"15:03",20251222,26,NA,"","15:03:20",1734.015,10593,1021.19218518519,1.00002314814815,500.879188682898,46.5918693393493
78,"CCNRD","112","90",10.0045,"147b","112CCNRD90","2",2025-12-29 15:04:00,2025-12-29 15:06:00,1677.5,"15:05",20251222,26,NA,"","15:05:16",1653.395,10735,940.572185185185,1.00002314814815,461.336308530233,42.97620939346
79,"CCNRD","112","90",10,"147c","112CCNRD90","2",2025-12-29 15:06:00,2025-12-29 15:08:00,1677.5,"15:07",20251222,26,NA,"","15:07:15",1709.37,10875,996.547185185185,1.00002314814815,488.791192139082,45.5542846100335
80,"blank","blank","blank",NA,"blank","blank","blank",2025-12-29 15:08:00,2025-12-29 15:10:00,778,"15:09",20251222,26,NA,"","15:09:07",773.847833333333,11007,61.0250185185186,1.00002314814815,29.9318406548239,NA
81,"blank","blank","blank",NA,"blank","blank","blank",2025-12-29 15:10:00,2025-12-29 15:12:00,644.5,"15:11",20251222,26,NA,"","15:11:16",654.353166666667,11129,-58.4696481481482,1.00002314814815,-28.678470469991,NA
82,"blank","blank","blank",NA,"blank","blank","blank",2025-12-29 15:12:00,2025-12-29 15:14:00,644.5,"15:13",20251222,26,NA,"","15:13:00",662.5075,NA,-50.3153148148149,1.00002314814815,-24.6788943632573,NA
