pause,study,plot,depth.cm,soilmass,cup_label,sample.id,mL_water,start,end,ppm.approx,readtime,readdate,temp1_C,temp2_C,NOTES,
1,CCNRD,101,15,10.038,083A,101CCNRD15,2.43,10:44,10:46,3506,10:45,10312025,26,27,I think these were low readings. I calibrated the whole range with the next run and have much higher numbers. Considering rerunning these samples,
2,CCNRD,101,15,10.0132,083B,101CCNRD15,2.43,10:46,10:48,3538,10:47,10312025,26,27,,
3,CCNRD,101,15,10.0162,083C,101CCNRD15,2.43,10:48,10:50,3277,10:49,10312025,26,27,,
4,CCNRD,102,15,10.004,087A,102CCNRD15,2.43,10:50,10:52,2298,10:51,10312025,26,27,,
5,CCNRD,102,15,10.0152,087B,102CCNRD15,2.43,10:52,10:54,2494,10:53,10312025,26,27,,
6,CCNRD,102,15,10.0008,087C,102CCNRD15,2.43,10:54,10:56,2559,10:55,10312025,26,27,,
7,CCNRD,103,15,10.02,088A,103CCNRD15,2.43,10:56,10:58,2918,10:57,10312025,26,27,,
8,CCNRD,103,15,9.9862,088B,103CCNRD15,2.43,10:58,11:00,1874,10:59,10312025,26,27,bad lid?,
9,CCNRD,103,15,10.0116,088C,103CCNRD15,2.43,11:00,11:02,2918,11:01,10312025,26,27,,
10,CCNRD,104,15,9.988,089A,104CCNRD15,2.43,11:02,11:04,3559,11:03,10312025,26,27,,
11,CCNRD,104,15,10.0263,089B,104CCNRD15,2.43,11:04,11:06,3009,11:05,10312025,26,27,bad lid?,
12,CCNRD,104,15,10.0199,089C,104CCNRD15,2.43,11:06,11:08,3559,11:07,10312025,26,27,,
13,CCNRD,105,15,10.0294,090A,105CCNRD15,2.43,11:08,11:10,2309,11:09,10312025,26,27,,
14,CCNRD,105,15,9.9982,090B,105CCNRD15,2.43,11:10,11:12,2734,11:11,10312025,26,27,,
15,CCNRD,105,15,9.9926,090C,105CCNRD15,2.43,11:12,11:14,2631,11:13,10312025,26,27,,
