pause,study,plot,depth.cm,soilmass,cup_label,sample.id,mL_water,start,end,ppm.approx,readtime,readdate,temp1_C,temp2_C,NOTES
1,CCNRD,303,90,10.0286,241a,303CCNRD90,2,1:08,1:10,1981,1:09,20251216,25,25.5,
2,CCNRD,303,90,10.0046,241b,303CCNRD90,2,1:10,1:12,1993,1:11,20251216,25,25.5,
3,CCNRD,303,90,10.0126,241c,303CCNRD90,2,1:12,1:14,1900,1:13,20251216,25,25.5,
4,CCNRD,304,90,10.0074,242a,304CCNRD90,2,1:14,1:16,1572,1:15,20251216,25,25.5,
5,CCNRD,304,90,10.0372,242b,304CCNRD90,2,1:16,1:18,1757,1:17,20251216,25,25.5,pause?
6,CCNRD,304,90,10.0204,242c,304CCNRD90,2,1:18,1:20,2230,1:19,20251216,25,25.5,
7,CCNRD,305,90,10.0244,243a,305CCNRD90,2,1:20,1:22,1436,1:21,20251216,25,25.5,
8,CCNRD,305,90,10.0214,243b,305CCNRD90,2,1:22,1:24,2105,1:23,20251216,25,25.5,
9,CCNRD,305,90,10.0172,243c,305CCNRD90,2,1:24,1:26,1903,1:25,20251216,25,25.5,
10,CCNRD,306,90,10.0081,244a,306CCNRD90,2,1:26,1:28,1716,1:27,20251216,25,25.5,
11,CCNRD,306,90,10.0145,244b,306CCNRD90,2,1:28,1:30,1809,1:29,20251216,25,25.5,
12,CCNRD,306,90,10.0269,244c,306CCNRD90,2,1:30,1:32,1763,1:31,20251216,25,25.5,
13,CCNRD,307,90,10.0212,245a,307CCNRD90,2,1:32,1:34,1950,1:33,20251216,25,25.5,
14,CCNRD,307,90,10.0104,245b,307CCNRD90,2,1:34,1:36,1654,1:35,20251216,25,25.5,
15,CCNRD,307,90,10.0212,245c,307CCNRD90,2,1:36,1:38,1971,1:39,20251216,25,25.5,bathroom
16,CCNRD,308,90,10.0035,246a,308CCNRD90,2,1:38,1:40,1833,1:40,20251216,25,25.5,
17,CCNRD,308,90,10.0066,246b,308CCNRD90,2,1:40,1:42,1749,1:41,20251216,25,25.5,
18,CCNRD,308,90,10.0086,246c,308CCNRD90,2,1:42,1:44,1833,1:43,20251216,25,25.5,
19,CCNRD,309,90,10.0018,247a,309CCNRD90,2,1:44,1:46,1729,1:45,20251216,25,25.5,
