"plot","depth.cm","sample.id","ugC.g.day"
"305","15","305CCNRD15",209.7257577
"305","15","305CCNRD15",213.4559012
"305","15","305CCNRD15",183.8224843
"306","15","306CCNRD15",159.546891
"306","15","306CCNRD15",54.62069122
"306","15","306CCNRD15",203.3052135
"307","15","307CCNRD15",147.3331016
"307","15","307CCNRD15",371.5289881
"307","15","307CCNRD15",180.2398657
"308","15","308CCNRD15",171.9337306
"308","15","308CCNRD15",169.6816113
"308","15","308CCNRD15",149.4831179
"309","15","309CCNRD15",251.4702937
"309","15","309CCNRD15",180.8727071
"309","15","309CCNRD15",217.4361146
"310","15","310CCNRD15",200.7998515
"310","15","310CCNRD15",178.4886537
"310","15","310CCNRD15",198.1164584
"311","15","311CCNRD15",195.899836
"311","15","311CCNRD15",198.2153399
"312","15","312CCNRD15",72.22676546
"312","15","312CCNRD15",144.41285
"312","15","312CCNRD15",153.369844
"401","15","401CCNRD15",200.1965883
"401","15","401CCNRD15",238.1613213
"401","15","401CCNRD15",152.2808181
"402","15","402CCNRD15",196.8947705
"402","15","402CCNRD15",170.6585583
"402","15","402CCNRD15",210.3891506
"blank","blank","blank",NA
"blank","blank","blank",NA
"blank","blank","blank",NA
"403","15","403CCNRD15",184.3038901
"403","15","403CCNRD15",167.7392083
"403","15","403CCNRD15",196.0330359
"404","15","404CCNRD15",224.8689264
"404","15","404CCNRD15",213.0868462
"404","15","404CCNRD15",187.3071109
"405","15","405CCNRD15",165.441986
"405","15","405CCNRD15",161.9275649
"405","15","405CCNRD15",137.3648197
"406","15","406CCNRD15",193.6394689
"406","15","406CCNRD15",309.6038329
"406","15","406CCNRD15",278.0297992
"407","15","407CCNRD15",149.5338156
"407","15","407CCNRD15",198.9790088
"407","15","407CCNRD15",160.0631629
"408","15","408CCNRD15",231.519222
"408","15","408CCNRD15",227.7564816
"408","15","408CCNRD15",234.4379625
"101","30","101CCNRD30",50.63063234
"101","30","101CCNRD30",37.85292392
"101","30","101CCNRD30",54.2092714
"102","30","102CCNRD30",76.38194825
"102","30","102CCNRD30",70.43442799
"102","30","102CCNRD30",37.5900961
"103","30","103CCNRD30",83.64536658
"103","30","103CCNRD30",90.82867843
"103","30","103CCNRD30",83.69552278
"104","30","104CCNRD30",30.93483212
"104","30","104CCNRD30",76.79996783
"104","30","104CCNRD30",92.22742272
"blank","blank","blank",NA
"blank","blank","blank",NA
"blank","blank","blank",NA
"105","30","105CCNRD30",77.42978569
"105","30","105CCNRD30",83.02150548
"105","30","105CCNRD30",86.64211801
"106","30","106CCNRD30",57.15617565
"106","30","106CCNRD30",93.12882539
"106","30","106CCNRD30",91.07022272
"107","30","107CCNRD30",95.48314204
"107","30","107CCNRD30",100.2279647
"107","30","107CCNRD30",74.90442457
"108","30","108CCNRD30",82.43070123
"108","30","108CCNRD30",81.29252736
"108","30","108CCNRD30",93.5814427
"109","30","109CCNRD30",58.87175409
"109","30","109CCNRD30",55.94664849
"109","30","109CCNRD30",63.30814319
"110","30","110CCNRD30",81.04765254
"110","30","110CCNRD30",103.8014843
"110","30","110CCNRD30",110.2296233
"111","30","111CCNRD30",93.46619776
"111","30","111CCNRD30",115.712526
"111","30","111CCNRD30",114.5049247
"112","30","112CCNRD30",103.7726732
"112","30","112CCNRD30",86.37509114
"112","30","112CCNRD30",96.19229478
"201","30","201CCNRD30",100.6244687
"201","30","201CCNRD30",108.6147545
"201","30","201CCNRD30",83.06070696
"202","30","202CCNRD30",73.19739526
"202","30","202CCNRD30",74.67193953
"202","30","202CCNRD30",77.98739406
"blank","blank","blank",NA
"blank","blank","blank",NA
"blank","blank","blank",NA
"203","30","203CCNRD30",97.76707242
"203","30","203CCNRD30",-2.635588728
"203","30","203CCNRD30",82.04980549
"204","30","204CCNRD30",76.68900587
"204","30","204CCNRD30",77.71766702
"204","30","204CCNRD30",66.43461981
"205","30","205CCNRD30",96.86139247
"205","30","205CCNRD30",100.0144411
"205","30","205CCNRD30",95.74603726
"206","30","206CCNRD30",87.54739454
"206","30","206CCNRD30",71.00459268
"206","30","206CCNRD30",92.70346186
"207","30","207CCNRD30",83.62592097
"207","30","207CCNRD30",79.1801486
"207","30","207CCNRD30",80.70734892
"208","30","208CCNRD30",100.2425448
"208","30","208CCNRD30",85.39736166
"208","30","208CCNRD30",88.23934041
"209","30","209CCNRD30",106.2922463
"209","30","209CCNRD30",108.4399695
"209","30","209CCNRD30",116.462458
"210","30","210CCNRD30",113.6196381
"210","30","210CCNRD30",105.9788573
"210","30","210CCNRD30",85.50564595
"211","30","211CCNRD30",83.44319393
"211","30","211CCNRD30",76.73752351
"211","30","211CCNRD30",67.81430898
"212","30","212CCNRD30",77.34860584
"212","30","212CCNRD30",83.61828338
"212","30","212CCNRD30",78.28138533
"blank","blank","blank",NA
"blank","blank","blank",NA
"blank","blank","blank",NA
"101","15","101CCNRD15",217.335697437256
"101","15","101CCNRD15",238.475465880578
"101","15","101CCNRD15",235.496592750758
"102","15","102CCNRD15",158.83495386232
"102","15","102CCNRD15",137.518113244742
"102","15","102CCNRD15",173.769567023508
"103","15","103CCNRD15",163.952698556607
"103","15","103CCNRD15",195.614148011863
"103","15","103CCNRD15",179.21200703995
"104","15","104CCNRD15",277.639913915153
"104","15","104CCNRD15",320.670429659426
"104","15","104CCNRD15",273.65775770711
"105","15","105CCNRD15",178.603465031274
"105","15","105CCNRD15",198.306860984119
"105","15","105CCNRD15",176.05129989639
"106","15","106CCNRD15",207.932461700315
"106","15","106CCNRD15",201.59469426919
"106","15","106CCNRD15",195.79752135837
"107","15","107CCNRD15",143.799248510423
"107","15","107CCNRD15",118.24533626427
"107","15","107CCNRD15",178.265851386271
"108","15","108CCNRD15",131.32220928317
"108","15","108CCNRD15",130.166679324172
"108","15","108CCNRD15",154.492260048496
"109","15","109CCNRD15",219.264308191882
"109","15","109CCNRD15",227.44247644382
"109","15","109CCNRD15",253.160720516771
"blank","blank","blank",NA
"blank","blank","blank",NA
"blank","blank","blank",NA
"301","30","301CCNRD30",94.7598494019699
"301","30","301CCNRD30",98.3552746828613
"301","30","301CCNRD30",121.198892005594
"302","30","302CCNRD30",102.958413450981
