,study,plot,depth.cm,sample.id,mean.resp,sample.cv
1,CCNRD,101,15,101CCNRD15,120.5000051,3.929059363
2,CCNRD,101,30,101CCNRD30,47.56427589,18.07767113
5,CCNRD,102,15,102CCNRD15,81.8996734,5.825228432
6,CCNRD,102,30,102CCNRD30,73.40818812,5.728968409
9,CCNRD,103,15,103CCNRD15,98.54163957,2.98280295
10,CCNRD,103,30,103CCNRD30,86.0565226,4.802522975
13,CCNRD,104,15,104CCNRD15,118.2935386,13.97821297
14,CCNRD,104,30,104CCNRD30,84.51369528,12.90779907
17,CCNRD,105,15,105CCNRD15,82.29457042,6.717945061
18,CCNRD,105,30,105CCNRD30,82.36446973,5.634928025
21,CCNRD,106,15,106CCNRD15,106.4991805,10.32455719
22,CCNRD,106,30,106CCNRD30,92.09952406,1.580520554
25,CCNRD,107,15,107CCNRD15,69.7683721,5.680255846
26,CCNRD,107,30,107CCNRD30,90.2051771,14.92324742
29,CCNRD,108,15,108CCNRD15,68.3963295,7.385284918
30,CCNRD,108,30,108CCNRD30,85.76822376,7.917075734
33,CCNRD,109,15,109CCNRD15,110.8913172,5.030835118
34,CCNRD,109,30,109CCNRD30,59.37551526,6.242492657
37,CCNRD,110,15,110CCNRD15,101.9662315,0.667491655
38,CCNRD,110,30,110CCNRD30,98.35958671,15.58893997
41,CCNRD,111,15,111CCNRD15,92.48420668,10.6890292
42,CCNRD,111,30,111CCNRD30,107.8945495,11.59456076
45,CCNRD,112,15,112CCNRD15,73.99391856,17.37936562
46,CCNRD,112,30,112CCNRD30,95.44668637,9.13884426
49,CCNRD,201,15,201CCNRD15,125.2847802,8.437684415
50,CCNRD,201,30,201CCNRD30,97.43331005,13.41685767
53,CCNRD,202,15,202CCNRD15,81.34523737,8.713538051
54,CCNRD,202,30,202CCNRD30,75.28557628,3.258592071
57,CCNRD,203,15,203CCNRD15,92.89501682,5.141915881
58,CCNRD,203,30,203CCNRD30,89.90843896,12.36122677
61,CCNRD,204,15,204CCNRD15,106.3249673,3.496771161
62,CCNRD,204,30,204CCNRD30,73.61376423,8.474718482
65,CCNRD,205,15,205CCNRD15,98.1265386,5.398853513
66,CCNRD,205,30,205CCNRD30,97.54062361,2.26960077
69,CCNRD,206,15,206CCNRD15,93.54530675,10.79445912
70,CCNRD,206,30,206CCNRD30,83.75181636,13.53576312
73,CCNRD,207,15,207CCNRD15,80.90075676,14.45212266
74,CCNRD,207,30,207CCNRD30,81.1711395,2.782863858
77,CCNRD,208,15,208CCNRD15,113.2400052,6.435440756
78,CCNRD,208,30,208CCNRD30,91.29308229,8.631156841
81,CCNRD,209,15,209CCNRD15,107.1205482,16.09649582
82,CCNRD,209,30,209CCNRD30,110.3982246,4.855553897
85,CCNRD,210,15,210CCNRD15,108.0831202,12.66154546
86,CCNRD,210,30,210CCNRD30,101.7013805,14.2937192
89,CCNRD,211,15,211CCNRD15,100.1536281,0.678587827
90,CCNRD,211,30,211CCNRD30,75.99834214,10.31682872
93,CCNRD,212,15,212CCNRD15,81.83915475,9.351433369
94,CCNRD,212,30,212CCNRD30,79.74942485,4.241829316
97,CCNRD,301,15,301CCNRD15,143.7616508,6.792089945
101,CCNRD,302,15,302CCNRD15,98.27963842,0.972891409
105,CCNRD,303,15,303CCNRD15,98.00711376,0.900234991
109,CCNRD,304,15,304CCNRD15,122.2187408,2.616624343
113,CCNRD,305,15,305CCNRD15,202.3347144,7.976971483
117,CCNRD,306,15,306CCNRD15,181.4260523,17.05477587
121,CCNRD,307,15,307CCNRD15,163.7864837,14.20666439
125,CCNRD,308,15,308CCNRD15,163.6994866,7.552329853
129,CCNRD,309,15,309CCNRD15,216.5930385,16.30077483
133,CCNRD,310,15,310CCNRD15,192.4683212,6.32876368
137,CCNRD,311,15,311CCNRD15,197.057588,0.830878185
141,CCNRD,312,15,312CCNRD15,148.891347,4.25380744
145,CCNRD,401,15,401CCNRD15,219.1789548,12.24803731
149,CCNRD,402,15,402CCNRD15,192.6474931,10.48700803
153,CCNRD,403,15,403CCNRD15,182.6920448,7.781189825
157,CCNRD,404,15,404CCNRD15,208.4209612,9.217251151
161,CCNRD,405,15,405CCNRD15,154.9114569,9.874735092
165,CCNRD,406,15,406CCNRD15,293.8168161,7.598684663
169,CCNRD,407,15,407CCNRD15,169.5253291,15.36364668
173,CCNRD,408,15,408CCNRD15,231.2378887,1.448557216
