,study,plot,depth.cm,sample.id,mean.resp,sample.cv
1,CCNRD,101,15,101CCNRD15,230.4359187,4.965578554
2,CCNRD,101,30,101CCNRD30,47.56427589,18.07767113
3,CCNRD,101,60,101CCNRD60,75.76713607,2.123893639
4,CCNRD,101,90,101CCNRD90,36.1658739,18.88256443
5,CCNRD,102,15,102CCNRD15,156.7075447,11.62619276
6,CCNRD,102,30,102CCNRD30,73.40818812,5.728968409
7,CCNRD,102,60,102CCNRD60,35.89859548,4.492350446
8,CCNRD,102,90,102CCNRD90,49.32467445,5.06608918
9,CCNRD,103,15,103CCNRD15,179.5929512,8.816694533
10,CCNRD,103,30,103CCNRD30,86.0565226,4.802522975
11,CCNRD,103,60,103CCNRD60,52.98529653,3.104146332
12,CCNRD,103,90,103CCNRD90,56.53092769,15.81579641
13,CCNRD,104,15,104CCNRD15,290.6560338,8.969150116
14,CCNRD,104,30,104CCNRD30,84.51369528,12.90779907
15,CCNRD,104,60,104CCNRD60,61.43522702,13.64867952
16,CCNRD,104,90,104CCNRD90,46.45016362,8.15790686
17,CCNRD,105,15,105CCNRD15,184.320542,6.607804637
18,CCNRD,105,30,105CCNRD30,82.36446973,5.634928025
19,CCNRD,105,60,105CCNRD60,62.38126787,5.887578332
20,CCNRD,105,90,105CCNRD90,55.62324109,8.939576559
21,CCNRD,106,15,106CCNRD15,201.7748925,3.008043586
22,CCNRD,106,30,106CCNRD30,92.09952406,1.580520554
23,CCNRD,106,60,106CCNRD60,75.97656345,2.266823161
24,CCNRD,106,90,106CCNRD90,51.73906365,13.66095559
25,CCNRD,107,15,107CCNRD15,131.0222924,13.79104599
26,CCNRD,107,30,107CCNRD30,90.2051771,14.92324742
27,CCNRD,107,60,107CCNRD60,44.42327103,5.272775676
28,CCNRD,107,90,107CCNRD90,34.89467387,6.214937478
29,CCNRD,108,15,108CCNRD15,138.6603829,9.896825203
30,CCNRD,108,30,108CCNRD30,85.76822376,7.917075734
31,CCNRD,108,60,108CCNRD60,53.67926785,4.556324646
32,CCNRD,108,90,108CCNRD90,35.63173391,8.472714143
33,CCNRD,109,15,109CCNRD15,233.2891684,7.582178634
34,CCNRD,109,30,109CCNRD30,59.37551526,6.242492657
35,CCNRD,109,60,109CCNRD60,30.21885264,18.34892613
36,CCNRD,109,90,109CCNRD90,36.78351445,8.660206907
37,CCNRD,110,15,110CCNRD15,255.3328891,15.12229497
38,CCNRD,110,30,110CCNRD30,98.35958671,15.58893997
39,CCNRD,110,60,110CCNRD60,41.94745718,1.720610497
40,CCNRD,110,90,110CCNRD90,50.95133107,3.144681979
41,CCNRD,111,15,111CCNRD15,227.6120988,4.719345693
42,CCNRD,111,30,111CCNRD30,107.8945495,11.59456076
43,CCNRD,111,60,111CCNRD60,69.00807434,4.236941885
44,CCNRD,111,90,111CCNRD90,49.79425179,6.233336273
45,CCNRD,112,15,112CCNRD15,243.5189123,5.184532067
46,CCNRD,112,30,112CCNRD30,95.44668637,9.13884426
47,CCNRD,112,60,112CCNRD60,43.24109946,14.55604029
48,CCNRD,112,90,112CCNRD90,45.04078778,4.133413291
49,CCNRD,201,15,201CCNRD15,294.7392321,2.865912138
50,CCNRD,201,30,201CCNRD30,97.43331005,13.41685767
51,CCNRD,201,60,201CCNRD60,54.8774767,5.90049638
52,CCNRD,201,90,201CCNRD90,43.63585498,9.202524707
53,CCNRD,202,15,202CCNRD15,215.2565796,5.258258103
54,CCNRD,202,30,202CCNRD30,75.28557628,3.258592071
55,CCNRD,202,60,202CCNRD60,48.21223476,8.686437468
56,CCNRD,202,90,202CCNRD90,37.68147173,10.61698433
57,CCNRD,203,15,203CCNRD15,242.5582944,0.922538585
58,CCNRD,203,30,203CCNRD30,90.81385495,8.82418148
59,CCNRD,203,60,203CCNRD60,71.11989172,6.834514143
60,CCNRD,203,90,203CCNRD90,60.55913972,17.16293673
61,CCNRD,204,15,204CCNRD15,219.519526,7.722283474
62,CCNRD,204,30,204CCNRD30,73.61376423,8.474718482
63,CCNRD,204,60,204CCNRD60,45.77315432,12.51708332
64,CCNRD,204,90,204CCNRD90,35.44987587,4.087412932
65,CCNRD,205,15,205CCNRD15,213.8160922,5.008626791
66,CCNRD,205,30,205CCNRD30,97.54062361,2.26960077
67,CCNRD,205,60,205CCNRD60,51.74008733,14.62951897
68,CCNRD,205,90,205CCNRD90,51.99161414,15.15421178
69,CCNRD,206,15,206CCNRD15,251.3018728,11.0232344
70,CCNRD,206,30,206CCNRD30,83.75181636,13.53576312
71,CCNRD,206,60,206CCNRD60,51.58362646,9.380316397
72,CCNRD,206,90,206CCNRD90,50.1032763,8.070771297
73,CCNRD,207,15,207CCNRD15,246.9756173,10.56838272
74,CCNRD,207,30,207CCNRD30,81.1711395,2.782863858
75,CCNRD,207,60,207CCNRD60,46.22913252,16.66739309
76,CCNRD,207,90,207CCNRD90,49.94835796,13.96723015
77,CCNRD,208,15,208CCNRD15,282.0749305,3.434601913
