"2025-10-31 at 10:44"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2025-10-31	10:44:08	5.35892e3	5.14935e1	9.26049e1	2.7683401e-1	1.2033631e1	7.4011287e-1	
2025-10-31	10:44:08	4.56677e3	5.14902e1	9.23882e1	2.5951936e-1	1.2020202e1	7.4056677e-1	
2025-10-31	10:44:09	4.13417e3	5.14935e1	9.23172e1	2.4879851e-1	1.2042863e1	7.2990865e-1	
2025-10-31	10:44:09	3.96606e3	5.14935e1	9.23130e1	2.4435129e-1	1.2050416e1	7.3149347e-1	
2025-10-31	10:44:10	3.88068e3	5.14935e1	9.22389e1	2.4202747e-1	1.2022720e1	7.4471445e-1	
2025-10-31	10:44:10	3.77491e3	5.14968e1	9.20917e1	2.3908324e-1	1.2014328e1	7.5545735e-1	
2025-10-31	10:44:11	3.67391e3	5.14935e1	9.19737e1	2.3620548e-1	1.2064683e1	7.5545053e-1	
2025-10-31	10:44:11	3.58682e3	5.14935e1	9.19517e1	2.3366703e-1	1.2051255e1	7.5095958e-1	
2025-10-31	10:44:12	3.53797e3	5.14902e1	9.19445e1	2.3222086e-1	1.2055451e1	7.5049452e-1	
2025-10-31	10:44:12	3.53316e3	5.14935e1	9.18887e1	2.3207664e-1	1.2033631e1	7.6891326e-1	
2025-10-31	10:44:13	3.53130e3	5.14968e1	9.17512e1	2.3201999e-1	1.2052934e1	7.6441187e-1	
2025-10-31	10:44:13	3.51578e3	5.14968e1	9.17737e1	2.3155574e-1	1.2054612e1	7.5358052e-1	
2025-10-31	10:44:14	3.51652e3	5.14968e1	9.18260e1	2.3157801e-1	1.2035310e1	7.6067442e-1	
2025-10-31	10:44:14	3.51919e3	5.14968e1	9.17672e1	2.3165800e-1	1.2034471e1	7.5821757e-1	
2025-10-31	10:44:15	3.50064e3	5.14935e1	9.18214e1	2.3110244e-1	1.2031953e1	7.4367856e-1	
2025-10-31	10:44:15	3.49879e3	5.15001e1	9.19292e1	2.3104469e-1	1.2060487e1	7.3594198e-1	
2025-10-31	10:44:16	3.51355e3	5.15001e1	9.19702e1	2.3148789e-1	1.2010971e1	7.3977923e-1	
2025-10-31	10:44:16	3.51450e3	5.15001e1	9.19247e1	2.3151631e-1	1.2032792e1	7.4352893e-1	
2025-10-31	10:44:17	3.49927e3	5.14968e1	9.19014e1	2.3106024e-1	1.2023559e1	7.3924727e-1	
2025-10-31	10:44:17	3.48481e3	5.14935e1	9.19412e1	2.3062543e-1	1.2050416e1	7.2934079e-1	
2025-10-31	10:44:18	3.48829e3	5.14935e1	9.20167e1	2.3073053e-1	1.2042863e1	7.2660408e-1	
2025-10-31	10:44:18	3.50460e3	5.14902e1	9.20049e1	2.3122255e-1	1.2046220e1	7.4464039e-1	
2025-10-31	10:44:19	3.50630e3	5.14935e1	9.18627e1	2.3127264e-1	1.2033631e1	7.5559492e-1	
2025-10-31	10:44:19	3.48095e3	5.14935e1	9.17650e1	2.3050901e-1	1.2057969e1	7.5404987e-1	
2025-10-31	10:44:20	3.46313e3	5.14935e1	9.17737e1	2.2996921e-1	1.2039506e1	7.4602823e-1	
2025-10-31	10:44:20	3.46895e3	5.14968e1	9.18464e1	2.3014459e-1	1.2036988e1	7.4205150e-1	
2025-10-31	10:44:21	3.49002e3	5.14968e1	9.18575e1	2.3078145e-1	1.2057130e1	7.4492168e-1	
2025-10-31	10:44:21	3.49848e3	5.14968e1	9.18065e1	2.3103644e-1	1.2034471e1	7.5562229e-1	
2025-10-31	10:44:22	3.48377e3	5.14968e1	9.17225e1	2.3059289e-1	1.2058808e1	7.6367845e-1	
2025-10-31	10:44:22	3.47179e3	5.14968e1	9.16654e1	2.3023083e-1	1.2035310e1	7.6141171e-1	
2025-10-31	10:44:23	3.46438e3	5.14968e1	9.16742e1	2.3000624e-1	1.2047898e1	7.5350723e-1	
2025-10-31	10:44:23	3.47149e3	5.14935e1	9.17070e1	2.3022284e-1	1.2016845e1	7.6032023e-1	
2025-10-31	10:44:24	3.47858e3	5.14968e1	9.16807e1	2.3043603e-1	1.2042863e1	7.5494999e-1	
2025-10-31	10:44:24	3.46882e3	5.14968e1	9.17532e1	2.3014087e-1	1.2036988e1	7.4321050e-1	
2025-10-31	10:44:25	3.46845e3	5.14935e1	9.18480e1	2.3013048e-1	1.2007614e1	7.3595948e-1	
2025-10-31	10:44:25	3.47757e3	5.14935e1	9.18945e1	2.3040661e-1	1.2032792e1	7.4016976e-1	
2025-10-31	10:44:26	3.47667e3	5.14935e1	9.18420e1	2.3037955e-1	1.2035310e1	7.4566583e-1	
2025-10-31	10:44:26	3.45780e3	5.14935e1	9.18120e1	2.2980723e-1	1.2036988e1	7.3830628e-1	
2025-10-31	10:44:27	3.44448e3	5.14935e1	9.18937e1	2.2940180e-1	1.2039506e1	7.2641682e-1	
2025-10-31	10:44:27	3.45539e3	5.14902e1	9.19692e1	2.2973525e-1	1.2058808e1	7.3102812e-1	
2025-10-31	10:44:28	3.48036e3	5.14935e1	9.19047e1	2.3049108e-1	1.2031953e1	7.4519243e-1	
2025-10-31	10:44:28	3.47245e3	5.14968e1	9.17942e1	2.3025078e-1	1.2050416e1	7.5706410e-1	
2025-10-31	10:44:29	3.44532e3	5.14935e1	9.17022e1	2.2942757e-1	1.2063004e1	7.5714397e-1	
2025-10-31	10:44:29	3.43213e3	5.14902e1	9.17022e1	2.2902579e-1	1.2054612e1	7.5120711e-1	
2025-10-31	10:44:30	3.44042e3	5.14968e1	9.17300e1	2.2927715e-1	1.2053773e1	7.5108141e-1	
2025-10-31	10:44:30	3.45873e3	5.14935e1	9.17052e1	2.2983567e-1	1.2016845e1	7.5885686e-1	
2025-10-31	10:44:31	3.45612e3	5.14902e1	9.16442e1	2.2975735e-1	1.2057969e1	7.6527366e-1	
2025-10-31	10:44:31	3.44249e3	5.14968e1	9.16062e1	2.2934024e-1	1.2047898e1	7.6273145e-1	
2025-10-31	10:44:32	3.43156e3	5.15035e1	9.16167e1	2.2900428e-1	1.2053773e1	7.5492467e-1	
2025-10-31	10:44:32	3.43690e3	5.14968e1	9.16562e1	2.2916965e-1	1.2006775e1	7.6311893e-1	
2025-10-31	10:44:33	3.44492e3	5.14935e1	9.16230e1	2.2941534e-1	1.2047898e1	7.5659484e-1	
2025-10-31	10:44:33	3.43408e3	5.14902e1	9.17035e1	2.2908563e-1	1.2023559e1	7.4379067e-1	
2025-10-31	10:44:34	3.43665e3	5.14902e1	9.18010e1	2.2916398e-1	1.2026916e1	7.3719458e-1	
2025-10-31	10:44:34	3.44440e3	5.14902e1	9.18490e1	2.2940051e-1	1.2031953e1	7.4014482e-1	
2025-10-31	10:44:34	3.44745e3	5.14902e1	9.18054e1	2.2949364e-1	1.2030273e1	7.4688367e-1	
2025-10-31	10:44:35	3.42937e3	5.14968e1	9.17692e1	2.2893943e-1	1.2036988e1	7.4095649e-1	
2025-10-31	10:44:36	3.41144e3	5.14968e1	9.18322e1	2.2838935e-1	1.2039506e1	7.2841768e-1	
2025-10-31	10:44:36	3.42273e3	5.14902e1	9.19247e1	2.2873809e-1	1.2058808e1	7.3062252e-1	
2025-10-31	10:44:37	3.44127e3	5.14935e1	9.18964e1	2.2930400e-1	1.2042863e1	7.4594302e-1	
2025-10-31	10:44:37	3.43497e3	5.14968e1	9.17614e1	2.2911064e-1	1.2017685e1	7.5800185e-1	
2025-10-31	10:44:38	3.40450e3	5.14968e1	9.16677e1	2.2817585e-1	1.2077271e1	7.5785012e-1	
2025-10-31	10:44:38	3.39383e3	5.15035e1	9.16702e1	2.2784466e-1	1.2056291e1	7.5162839e-1	
2025-10-31	10:44:39	3.41127e3	5.15001e1	9.17047e1	2.2838299e-1	1.2044541e1	7.5014438e-1	
2025-10-31	10:44:39	3.42850e3	5.14968e1	9.16967e1	2.2891263e-1	1.2034471e1	7.5489616e-1	
2025-10-31	10:44:40	3.43037e3	5.14935e1	9.16399e1	2.2897095e-1	1.2024399e1	7.6379365e-1	
2025-10-31	10:44:40	3.41532e3	5.14935e1	9.16104e1	2.2850964e-1	1.2073075e1	7.5975198e-1	
2025-10-31	10:44:41	3.39901e3	5.15002e1	9.16322e1	2.2800564e-1	1.2047059e1	7.5110683e-1	
2025-10-31	10:44:41	3.40118e3	5.14968e1	9.17022e1	2.2807364e-1	1.2054612e1	7.4846982e-1	
2025-10-31	10:44:42	3.42600e3	5.14935e1	9.16839e1	2.2883720e-1	1.2025238e1	7.6387205e-1	
2025-10-31	10:44:42	3.42245e3	5.14935e1	9.15822e1	2.2872855e-1	1.2059648e1	7.6003665e-1	
2025-10-31	10:44:43	3.38653e3	5.14902e1	9.16347e1	2.2762351e-1	1.2054612e1	7.5015215e-1	
2025-10-31	10:44:43	3.38449e3	5.14935e1	9.17175e1	2.2755937e-1	1.2078111e1	7.4237747e-1	
2025-10-31	10:44:44	3.40429e3	5.14935e1	9.17947e1	2.2817065e-1	1.2055451e1	7.3545770e-1	
2025-10-31	10:44:44	3.41137e3	5.14968e1	9.18630e1	2.2838730e-1	1.2043702e1	7.2613897e-1	
2025-10-31	10:44:45	3.40840e3	5.15001e1	9.19412e1	2.2829499e-1	1.2045381e1	7.2230191e-1	
2025-10-31	10:44:45	3.40251e3	5.14968e1	9.19412e1	2.2811465e-1	1.2036149e1	7.3562307e-1	
2025-10-31	10:44:46	3.39919e3	5.14902e1	9.18314e1	2.2801444e-1	1.2033631e1	7.5198197e-1	
2025-10-31	10:44:46	3.38360e3	5.14869e1	9.16919e1	2.2753393e-1	1.2036149e1	7.5791769e-1	
2025-10-31	10:44:47	3.36862e3	5.14968e1	9.16467e1	2.2706618e-1	1.2068040e1	7.5305328e-1	
2025-10-31	10:44:47	3.37390e3	5.14968e1	9.16884e1	2.2723004e-1	1.2052934e1	7.4887776e-1	
2025-10-31	10:44:48	3.38825e3	5.14968e1	9.17080e1	2.2767457e-1	1.2048738e1	7.4855556e-1	
2025-10-31	10:44:48	3.39907e3	5.14968e1	9.16887e1	2.2800865e-1	1.2032792e1	7.5358028e-1	
2025-10-31	10:44:49	3.37525e3	5.14968e1	9.15754e1	2.2727208e-1	1.2062165e1	7.6010055e-1	
2025-10-31	10:44:49	3.37525e3	5.14968e1	9.15754e1	2.2727208e-1	1.2062165e1	7.6010055e-1	
2025-10-31	10:44:50	3.36404e3	5.15001e1	9.16042e1	2.2692277e-1	1.2049577e1	7.5367450e-1	
2025-10-31	10:44:50	3.38742e3	5.14968e1	9.16699e1	2.2764894e-1	1.2024399e1	7.6306171e-1	
2025-10-31	10:44:51	3.39085e3	5.14935e1	9.15439e1	2.2775599e-1	1.2068879e1	7.6506261e-1	
