plate_id,id,run_date,site,plot,depth_cm,rep,mass_kg,poxc_mg_kg,sample.date,sample_name
abs_20251203_plate1,1,20251203,CCNRD,101,15,A,0.002478,1304.388493,2025,101CCNRD15
abs_20251203_plate1,10,20251203,CCNRD,105,15,B,0.0024866,736.8784709,2025,105CCNRD15
abs_20251203_plate1,11,20251203,CCNRD,106,15,A,0.0025196,811.5385919,2025,106CCNRD15
abs_20251203_plate1,12,20251203,CCNRD,106,15,B,0.0024907,839.1314642,2025,106CCNRD15
abs_20251203_plate1,13,20251203,CCNRD,107,15,A,0.0025286,869.2483144,2025,107CCNRD15
abs_20251203_plate1,14,20251203,CCNRD,107,15,B,0.0025235,788.2041318,2025,107CCNRD15
abs_20251203_plate1,15,20251203,CCNRD,108,15,A,0.0025018,779.7289806,2025,108CCNRD15
abs_20251203_plate1,16,20251203,CCNRD,108,15,B,0.0024708,833.204838,2025,108CCNRD15
abs_20251203_plate1,17,20251203,CCNRD,109,15,A,0.0024889,799.1615278,2025,109CCNRD15
abs_20251203_plate1,18,20251203,CCNRD,109,15,B,0.0025148,829.7050535,2025,109CCNRD15
abs_20251203_plate1,19,20251203,CCNRD,110,15,A,0.0025097,806.4142408,2025,110CCNRD15
abs_20251203_plate1,2,20251203,CCNRD,101,15,B,0.0025038,934.8839889,2025,101CCNRD15
abs_20251203_plate1,20,20251203,CCNRD,110,15,B,0.0025216,799.846479,2025,110CCNRD15
abs_20251203_plate1,21,20251203,CCNRD,111,15,A,0.0024738,778.7002499,2025,111CCNRD15
abs_20251203_plate1,22,20251203,CCNRD,111,15,B,0.0025352,824.4023106,2025,111CCNRD15
abs_20251203_plate1,23,20251203,CCNRD,112,15,A,0.0025285,706.7628649,2025,112CCNRD15
abs_20251203_plate1,24,20251203,CCNRD,112,15,B,0.0025157,836.3296956,2025,112CCNRD15
abs_20251203_plate1,25,20251203,CCNRD,201,15,A,0.0025359,909.3173382,2025,201CCNRD15
abs_20251203_plate1,3,20251203,CCNRD,102,15,A,0.0024995,851.5030609,2025,102CCNRD15
abs_20251203_plate1,353,20251203,soil standard,NA,NA,NA,0.0024968,526.0469688,2025,SS01
abs_20251203_plate1,4,20251203,CCNRD,102,15,B,0.0024705,810.7520761,2025,102CCNRD15
abs_20251203_plate1,5,20251203,CCNRD,103,15,A,0.0024859,688.0548607,2025,103CCNRD15
abs_20251203_plate1,6,20251203,CCNRD,103,15,B,0.0025058,661.7441687,2025,103CCNRD15
abs_20251203_plate1,7,20251203,CCNRD,104,15,A,0.0024944,921.6536639,2025,104CCNRD15
abs_20251203_plate1,8,20251203,CCNRD,104,15,B,0.0024891,860.6571766,2025,104CCNRD15
abs_20251203_plate1,9,20251203,CCNRD,105,15,A,0.0025229,704.1906124,2025,105CCNRD15
abs_20251203_plate2,26,20251203,CCNRD,201,15,B,0.0024986,894.20116,2025,201CCNRD15
abs_20251203_plate2,27,20251203,CCNRD,202,15,A,0.002526,825.8089321,2025,202CCNRD15
abs_20251203_plate2,28,20251203,CCNRD,202,15,B,0.0024996,867.0115533,2025,202CCNRD15
abs_20251203_plate2,29,20251203,CCNRD,203,15,A,0.0024818,695.4384139,2025,203CCNRD15
abs_20251203_plate2,30,20251203,CCNRD,203,15,B,0.0025057,755.0171339,2025,203CCNRD15
abs_20251203_plate2,31,20251203,CCNRD,204,15,A,0.0024698,843.1708715,2025,204CCNRD15
abs_20251203_plate2,32,20251203,CCNRD,204,15,B,0.0025143,825.4398958,2025,204CCNRD15
abs_20251203_plate2,33,20251203,CCNRD,205,15,A,0.0024801,735.7677081,2025,205CCNRD15
