sample_name,average
101CCNRD15,NA
101CCNRD30,740.9154474085046
101CCNRD60,204.19012975519047
101CCNRD90,143.1968685259969
102CCNRD15,NA
102CCNRD30,340.2649961990538
102CCNRD60,79.75821281764428
102CCNRD90,137.30829426586354
103CCNRD15,NA
103CCNRD30,162.1823401244656
103CCNRD60,68.51681823448254
103CCNRD90,138.54060316812732
104CCNRD15,NA
104CCNRD30,250.03507424473378
104CCNRD60,52.662440087148696
104CCNRD90,6.530674859580628
105CCNRD15,NA
105CCNRD30,291.6740011433701
105CCNRD60,52.1149895977465
105CCNRD90,72.9187761162666
106CCNRD15,NA
106CCNRD30,353.02966663582725
106CCNRD60,204.7237923969302
106CCNRD90,63.55028557230405
107CCNRD15,NA
107CCNRD30,450.21011300418627
107CCNRD60,114.333879831313
107CCNRD90,179.3301267402138
108CCNRD15,NA
108CCNRD30,566.4615889769952
108CCNRD60,243.31929520590796
108CCNRD90,214.77143948313312
109CCNRD15,NA
109CCNRD30,346.7562857145748
109CCNRD60,129.9674908733884
109CCNRD90,449.15900675506145
110CCNRD15,NA
110CCNRD30,355.22236625655205
110CCNRD60,96.75083656613252
110CCNRD90,228.7408166613465
111CCNRD15,NA
111CCNRD30,499.4371745400729
111CCNRD60,102.70463421768335
111CCNRD90,167.7686233138361
112CCNRD15,NA
112CCNRD30,379.925910941527
112CCNRD60,78.43729333507284
112CCNRD90,150.92262292456752
201CCNRD15,NA
201CCNRD30,422.9041820081428
201CCNRD60,NA
201CCNRD90,117.14123219371001
202CCNRD15,NA
202CCNRD30,374.4097822602182
202CCNRD60,NA
202CCNRD90,172.55031811673447
203CCNRD15,NA
203CCNRD30,511.63610923652533
203CCNRD60,NA
203CCNRD90,123.66811128057938
204CCNRD15,NA
204CCNRD30,499.33840420045647
204CCNRD60,NA
204CCNRD90,136.41010889795555
205CCNRD15,NA
205CCNRD30,356.62630726744726
205CCNRD60,NA
205CCNRD90,181.0286744480873
206CCNRD15,NA
206CCNRD30,356.36018297421447
206CCNRD60,NA
206CCNRD90,145.6709005366203
207CCNRD15,NA
207CCNRD30,437.79910385451797
207CCNRD60,NA
207CCNRD90,200.31470912098712
208CCNRD15,NA
208CCNRD30,450.3468528632082
208CCNRD60,NA
208CCNRD90,192.34002227419376
209CCNRD15,NA
209CCNRD30,497.0677532314541
209CCNRD60,NA
209CCNRD90,481.287336752731
210CCNRD15,NA
210CCNRD30,493.7586275347819
210CCNRD60,NA
210CCNRD90,138.90252555888017
211CCNRD15,NA
211CCNRD30,379.7314683822576
211CCNRD60,NA
211CCNRD90,125.92418272396606
212CCNRD15,NA
212CCNRD30,345.42431123845506
212CCNRD60,NA
212CCNRD90,175.52797278675584
301CCNRD15,NA
301CCNRD30,318.73327257308927
301CCNRD60,NA
301CCNRD90,215.93303272279135
302CCNRD15,578.0413548159197
302CCNRD30,226.41595920593355
302CCNRD60,504.2572373474562
302CCNRD90,218.82855493317044
303CCNRD15,625.7280323651128
303CCNRD30,344.8882368509136
303CCNRD60,363.5457253429106
303CCNRD90,273.4745747050753
304CCNRD15,661.5152329193747
304CCNRD30,145.9109152636805
304CCNRD60,317.534102765916
304CCNRD90,234.57275572096077
305CCNRD15,615.593240868824
305CCNRD30,312.97729432517485
305CCNRD60,385.4567281587814
305CCNRD90,200.57110888720186
306CCNRD15,642.8206197791501
306CCNRD30,364.76728453604915
306CCNRD60,359.3391954167462
306CCNRD90,170.49818590242842
307CCNRD15,659.2253113314079
307CCNRD30,366.61188710327764
307CCNRD60,342.5492716440033
307CCNRD90,268.5613200424968
308CCNRD15,707.6911590328566
308CCNRD30,421.01701628716717
308CCNRD60,256.5333053188443
308CCNRD90,269.10141623815423
309CCNRD15,704.4532561369265
309CCNRD30,443.94615053679325
309CCNRD60,258.8501653368231
309CCNRD90,209.983603846138
310CCNRD15,750.9052904157593
310CCNRD30,475.20986288672
310CCNRD60,235.8143603050562
310CCNRD90,666.6173879891022
311CCNRD15,683.006941038827
311CCNRD30,447.73355113517096
311CCNRD60,316.8559974756971
311CCNRD90,192.0350170317332
312CCNRD15,777.7004096581408
312CCNRD30,373.76717318699264
312CCNRD60,276.55611845855805
312CCNRD90,188.90997790784468
401CCNRD15,1002.0022322707744
401CCNRD30,352.40882793303695
401CCNRD60,424.6737380596259
401CCNRD90,330.42826319640056
402CCNRD15,711.0199706999756
402CCNRD30,237.81887039747335
402CCNRD60,168.75811889918722
402CCNRD90,333.36938657863163
403CCNRD15,629.5443532945123
403CCNRD30,282.51437392554453
403CCNRD60,161.13291168290576
403CCNRD90,176.85767104172237
404CCNRD15,710.0127714242708
404CCNRD30,229.2797333000234
404CCNRD60,119.18948781982016
404CCNRD90,175.39888685142455
405CCNRD15,578.0395197570539
405CCNRD30,249.9706298703304
405CCNRD60,164.6032176818661
405CCNRD90,170.6224516723051
406CCNRD15,783.1755018419515
406CCNRD30,332.5295293510128
406CCNRD60,213.61633257508032
406CCNRD90,782.4302102838477
407CCNRD15,839.9928267791365
407CCNRD30,373.14322687759807
407CCNRD60,179.7063522852601
407CCNRD90,247.46428126038893
408CCNRD15,892.0087775805537
408CCNRD30,450.93119046329787
408CCNRD60,218.59602325780992
408CCNRD90,194.10681287580746
SS01,NA
SS02,363.0996687452581
SS03,552.6126846875038
SS04,598.8475188673989
SS05,565.2386203900057
