abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.227,0.229,0.227,0.215,0.215,0.213,0.198,0.198,0.195,0.185,0.183,0.184
B,0.222,0.221,0.218,0.213,0.211,0.206,0.187,0.183,0.186,0.271,0.268,0.264
C,0.215,0.221,0.193,0.208,0.21,0.19,0.21,0.204,0.196,4.30E-02,0.04,4.20E-02
D,0.234,0.227,0.201,0.215,0.214,0.211,0.206,0.203,0.198,0.127,0.123,0.124
E,0.221,0.211,0.173,0.197,0.197,0.198,0.188,0.187,0.188,0.206,0.187,0.198
F,0.21,0.212,0.219,0.201,0.199,0.201,0.186,0.185,0.185,0.281,0.279,0.27
G,0.23,0.217,0.218,0.204,0.203,0.2,0.149,0.147,0.145,0.297,0.341,0.338
H,0.211,0.212,0.21,0.202,0.2,0.199,0.14,0.139,0.14,0.281,0.32,0.303
,,,,,,,,,,,,
id,1,2,3,4,5,6,7,8,9,10,11,12
A,51,51,51,59,59,59,67,67,67,75,75,75
B,52,52,52,60,60,60,68,68,68,354,354,354
C,53,53,53,61,61,61,69,69,69,ddi_blank,ddi_blank,ddi_blank
D,54,54,54,62,62,62,70,70,70,0.005_M_std,0.005_M_std,0.005_M_std
E,55,55,55,63,63,63,71,71,71,0.01_M_std,0.01_M_std,0.01_M_std
F,56,56,56,64,64,64,72,72,72,0.015_M_std,0.015_M_std,0.015_M_std
G,57,57,57,65,65,65,73,73,73,0.02_M_std,0.02_M_std,0.02_M_std
H,58,58,58,66,66,66,74,74,74,rgt_blank,rgt_blank,rgt_blank
,,,,,,,,,,,,
bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,bad,bad,bad,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
