plate_id,letter,1,2,3,4,5,6,7,8,9,10,11,12
abs_20251203_plate1,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,1,1,1,9,9,9,17,17,17,25,25,25
,B,2,2,2,10,10,10,18,18,18,353,353,353
,C,3,3,3,11,11,11,19,19,19,ddi_blank,ddi_blank,ddi_blank
,D,4,4,4,12,12,12,20,20,20,0.005_M_std,0.005_M_std,0.005_M_std
,E,5,5,5,13,13,13,21,21,21,0.01_M_std,0.01_M_std,0.01_M_std
,F,6,6,6,14,14,14,22,22,22,0.015_M_std,0.015_M_std,0.015_M_std
,G,7,7,7,15,15,15,23,23,23,0.02_M_std,0.02_M_std,0.02_M_std
,H,8,8,8,16,16,16,24,24,24,rgt_blank,rgt_blank,rgt_blank
,,,,,,,,,,,,,
abs_20251203_plate2,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,26,26,26,34,34,34,42,42,42,50,50,50
,B,27,27,27,35,35,35,43,43,43,353,353,353
,C,28,28,28,36,36,36,44,44,44,0.005_M_std,0.005_M_std,0.005_M_std
,D,29,29,29,37,37,37,45,45,45,0.01_M_std,0.01_M_std,0.01_M_std
,E,30,30,30,38,38,38,46,46,46,0.015_M_std,0.015_M_std,0.015_M_std
,F,31,31,31,39,39,39,47,47,47,0.02_M_std,0.02_M_std,0.02_M_std
,G,32,32,32,40,40,40,48,48,48,rgt_blank,rgt_blank,rgt_blank
,H,33,33,33,41,41,41,49,49,49,ddi_blank,ddi_blank,ddi_blank
,,,,,,,,,,,,,
abs_20251212_plate3,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,51,51,51,59,59,59,67,67,67,75,75,75
,B,52,52,52,60,60,60,68,68,68,354,354,354
,C,53,53,53,61,61,61,69,69,69,ddi_blank,ddi_blank,ddi_blank
,D,54,54,54,62,62,62,70,70,70,0.005_M_std,0.005_M_std,0.005_M_std
,E,55,55,55,63,63,63,71,71,71,0.01_M_std,0.01_M_std,0.01_M_std
,F,56,56,56,64,64,64,72,72,72,0.015_M_std,0.015_M_std,0.015_M_std
,G,57,57,57,65,65,65,73,73,73,0.02_M_std,0.02_M_std,0.02_M_std
