sample_id,site,plot,depth_cm,rep,mass_g,run_date
1,CCNRD,101,15,A,2.478,20251203
2,CCNRD,101,15,B,2.5038,20251203
3,CCNRD,102,15,A,2.4995,20251203
4,CCNRD,102,15,B,2.4705,20251203
5,CCNRD,103,15,A,2.4859,20251203
6,CCNRD,103,15,B,2.5058,20251203
7,CCNRD,104,15,A,2.4944,20251203
8,CCNRD,104,15,B,2.4891,20251203
9,CCNRD,105,15,A,2.5229,20251203
10,CCNRD,105,15,B,2.4866,20251203
11,CCNRD,106,15,A,2.5196,20251203
12,CCNRD,106,15,B,2.4907,20251203
13,CCNRD,107,15,A,2.5286,20251203
14,CCNRD,107,15,B,2.5235,20251203
15,CCNRD,108,15,A,2.5018,20251203
16,CCNRD,108,15,B,2.4708,20251203
17,CCNRD,109,15,A,2.4889,20251203
18,CCNRD,109,15,B,2.5148,20251203
19,CCNRD,110,15,A,2.5097,20251203
20,CCNRD,110,15,B,2.5216,20251203
21,CCNRD,111,15,A,2.4738,20251203
22,CCNRD,111,15,B,2.5352,20251203
23,CCNRD,112,15,A,2.5285,20251203
24,CCNRD,112,15,B,2.5157,20251203
25,CCNRD,201,15,A,2.5359,20251203
26,CCNRD,201,15,B,2.4986,20251203
27,CCNRD,202,15,A,2.526,20251203
28,CCNRD,202,15,B,2.4996,20251203
29,CCNRD,203,15,A,2.4818,20251203
30,CCNRD,203,15,B,2.5057,20251203
31,CCNRD,204,15,A,2.4698,20251203
32,CCNRD,204,15,B,2.5143,20251203
33,CCNRD,205,15,A,2.4801,20251203
34,CCNRD,205,15,B,2.5219,20251203
35,CCNRD,206,15,A,2.4905,20251203
36,CCNRD,206,15,B,2.4754,20251203
37,CCNRD,207,15,A,2.4997,20251203
38,CCNRD,207,15,B,2.5012,20251203
39,CCNRD,208,15,A,2.539,20251203
40,CCNRD,208,15,B,2.4906,20251203
41,CCNRD,209,15,A,2.5158,20251203
42,CCNRD,209,15,B,2.4913,20251203
43,CCNRD,210,15,A,2.5218,20251203
44,CCNRD,210,15,B,2.4824,20251203
45,CCNRD,211,15,A,2.5218,20251203
46,CCNRD,211,15,B,2.5243,20251203
47,CCNRD,212,15,A,2.4816,20251203
48,CCNRD,212,15,B,2.5139,20251203
49,CCNRD,301,15,A,2.4907,20251203
50,CCNRD,301,15,B,2.5176,20251203
51,CCNRD,302,15,A,2.5051,20251212
52,CCNRD,302,15,B,2.4799,20251212
53,CCNRD,303,15,A,2.4807,20251212
54,CCNRD,303,15,B,2.4935,20251212
55,CCNRD,304,15,A,2.4719,20251212
56,CCNRD,304,15,B,2.5329,20251212
57,CCNRD,305,15,A,2.5428,20251212
58,CCNRD,305,15,B,2.4676,20251212
59,CCNRD,306,15,A,2.4675,20251212
60,CCNRD,306,15,B,2.4956,20251212
61,CCNRD,307,15,A,2.5158,20251212
62,CCNRD,307,15,B,2.4885,20251212
63,CCNRD,308,15,A,2.5102,20251212
64,CCNRD,308,15,B,2.4911,20251212
65,CCNRD,309,15,A,2.4564,20251212
66,CCNRD,309,15,B,2.4751,20251212
67,CCNRD,310,15,A,2.4642,20251212
68,CCNRD,310,15,B,2.515,20251212
69,CCNRD,311,15,A,2.534,20251212
70,CCNRD,311,15,B,2.4954,20251212
71,CCNRD,312,15,A,2.4785,20251212
72,CCNRD,312,15,B,2.4876,20251212
73,CCNRD,401,15,A,2.4886,20251212
74,CCNRD,401,15,B,2.493,20251212
75,CCNRD,402,15,A,2.5071,20251212
76,CCNRD,402,15,B,2.4818,20251212
77,CCNRD,403,15,A,2.4926,20251212
78,CCNRD,403,15,B,2.4956,20251212
79,CCNRD,404,15,A,2.4995,20251212
80,CCNRD,404,15,B,2.4947,20251212
81,CCNRD,405,15,A,2.5065,20251212
82,CCNRD,405,15,B,2.5239,20251212
83,CCNRD,406,15,A,2.4774,20251212
84,CCNRD,406,15,B,2.4746,20251212
85,CCNRD,407,15,A,2.5052,20251212
86,CCNRD,407,15,B,2.4821,20251212
87,CCNRD,408,15,A,2.4962,20251212
88,CCNRD,408,15,B,2.5356,20251212
89,CCNRD,101,30,A,2.54421,20251212
90,CCNRD,101,30,B,2.4976,20251212
91,CCNRD,102,30,A,2.4901,20251212
92,CCNRD,102,30,B,2.4781,20251212
93,CCNRD,103,30,A,2.51,20251212
94,CCNRD,103,30,B,2.5072,20251212
95,CCNRD,104,30,A,2.5004,20251212
96,CCNRD,104,30,B,2.4836,20251212
97,CCNRD,105,30,A,2.5081,20251212
98,CCNRD,105,30,B,2.4708,20251212
99,CCNRD,106,30,A,2.5145,20251212
100,CCNRD,106,30,B,2.4784,20251212
101,CCNRD,107,30,A,2.5303,20251212
102,CCNRD,107,30,B,2.4725,20251212
103,CCNRD,108,30,A,2.5286,20251212
104,CCNRD,108,30,B,2.4769,20251212
105,CCNRD,109,30,A,2.4961,20251212
106,CCNRD,109,30,B,2.4921,20251212
107,CCNRD,110,30,A,2.527,20251212
108,CCNRD,110,30,B,2.5084,20251212
109,CCNRD,111,30,A,2.5227,20251212
110,CCNRD,111,30,B,2.4851,20251212
111,CCNRD,112,30,A,2.5323,20251212
112,CCNRD,112,30,B,2.5078,20251212
113,CCNRD,201,30,A,2.5281,20251212
114,CCNRD,201,30,B,2.4902,20251212
115,CCNRD,202,30,A,2.5082,20251212
116,CCNRD,202,30,B,2.4912,20251212
117,CCNRD,203,30,A,2.5195,20251212
118,CCNRD,203,30,B,2.4865,20251212
119,CCNRD,204,30,A,2.4919,20251212
120,CCNRD,204,30,B,2.5058,20251212
121,CCNRD,205,30,A,2.4893,20251212
122,CCNRD,205,30,B,2.5049,20251212
123,CCNRD,206,30,A,2.5169,20251212
124,CCNRD,206,30,B,2.5306,20251212
125,CCNRD,207,30,A,2.5222,20251212
126,CCNRD,207,30,B,2.4805,20251218
127,CCNRD,208,30,A,2.5136,20251218
128,CCNRD,208,30,B,2.4856,20251218
129,CCNRD,209,30,A,2.484,20251218
130,CCNRD,209,30,B,2.5161,20251218
131,CCNRD,210,30,A,2.5233,20251218
132,CCNRD,210,30,B,2.5099,20251218
133,CCNRD,211,30,A,2.5106,20251218
134,CCNRD,211,30,B,2.5,20251218
135,CCNRD,212,30,A,2.4907,20251218
136,CCNRD,212,30,B,2.5271,20251218
137,CCNRD,301,30,A,2.4916,20251218
138,CCNRD,301,30,B,2.5042,20251218
139,CCNRD,302,30,A,2.5196,20251218
140,CCNRD,302,30,B,2.5134,20251218
141,CCNRD,303,30,A,2.5255,20251218
142,CCNRD,303,30,B,2.47,20251218
143,CCNRD,304,30,A,2.5368,20251218
144,CCNRD,304,30,B,2.5072,20251218
145,CCNRD,305,30,A,2.5097,20251218
146,CCNRD,305,30,B,2.4725,20251218
147,CCNRD,306,30,A,2.4781,20251218
148,CCNRD,306,30,B,2.5275,20251218
149,CCNRD,307,30,A,2.5055,20251218
150,CCNRD,307,30,B,2.4966,20251218
151,CCNRD,308,30,A,2.4808,20251218
152,CCNRD,308,30,B,2.5259,20251218
153,CCNRD,309,30,A,2.5423,20251218
154,CCNRD,309,30,B,2.4718,20251218
155,CCNRD,310,30,A,2.4852,20251218
156,CCNRD,310,30,B,2.5316,20251218
157,CCNRD,311,30,A,2.5118,20251218
158,CCNRD,311,30,B,2.4746,20251218
159,CCNRD,312,30,A,2.5326,20251218
160,CCNRD,312,30,B,2.4986,20251218
161,CCNRD,401,30,A,2.5016,20251218
162,CCNRD,401,30,B,2.5262,20251218
163,CCNRD,402,30,A,2.5307,20251218
164,CCNRD,402,30,B,2.502,20251218
165,CCNRD,403,30,A,2.4846,20251218
166,CCNRD,403,30,B,2.4945,20251218
167,CCNRD,404,30,A,2.4846,20251218
168,CCNRD,404,30,B,2.5243,20251218
169,CCNRD,405,30,A,2.4888,20251218
170,CCNRD,405,30,B,2.5372,20251218
171,CCNRD,406,30,A,2.4981,20251218
172,CCNRD,406,30,B,2.4949,20251218
173,CCNRD,407,30,A,2.5276,20251218
174,CCNRD,407,30,B,2.5325,20251218
175,CCNRD,408,30,A,2.4987,20251218
176,CCNRD,408,30,B,2.5096,20251218
177,CCNRD,101,60,A,2.4943,20251218
178,CCNRD,101,60,B,2.4892,20251218
179,CCNRD,102,60,A,2.5255,20251218
180,CCNRD,102,60,B,2.5035,20251218
181,CCNRD,103,60,A,2.5139,20251218
182,CCNRD,103,60,B,2.4831,20251218
183,CCNRD,104,60,A,2.5169,20251218
184,CCNRD,104,60,B,2.5408,20251218
185,CCNRD,105,60,A,2.5005,20251218
186,CCNRD,105,60,B,2.4916,20251218
187,CCNRD,106,60,A,2.4764,20251218
188,CCNRD,106,60,B,2.5068,20251218
189,CCNRD,107,60,A,2.5266,20251218
190,CCNRD,107,60,B,2.5,20251218
191,CCNRD,108,60,A,2.4899,20251218
192,CCNRD,108,60,B,2.4874,20251218
193,CCNRD,109,60,A,2.5202,20251218
194,CCNRD,109,60,B,2.5129,20251218
195,CCNRD,110,60,A,2.514,20251218
196,CCNRD,110,60,B,2.5125,20251218
197,CCNRD,111,60,A,2.5028,20251218
198,CCNRD,111,60,B,2.5207,20251218
199,CCNRD,112,60,A,2.4901,20251218
200,CCNRD,112,60,B,2.4974,20251218
201,CCNRD,201,60,A,2.4733,20251219
202,CCNRD,201,60,B,2.5176,20251219
203,CCNRD,202,60,A,2.5131,20251219
204,CCNRD,202,60,B,2.4788,20251219
205,CCNRD,203,60,A,2.4746,20251219
206,CCNRD,203,60,B,2.5232,20251219
207,CCNRD,204,60,A,2.498,20251219
208,CCNRD,204,60,B,2.4878,20251219
209,CCNRD,205,60,A,2.5159,20251219
210,CCNRD,205,60,B,2.5063,20251219
211,CCNRD,206,60,A,2.4812,20251219
212,CCNRD,206,60,B,2.4872,20251219
213,CCNRD,207,60,A,2.4867,20251219
214,CCNRD,207,60,B,2.5127,20251219
215,CCNRD,208,60,A,2.4863,20251219
216,CCNRD,208,60,B,2.5242,20251219
217,CCNRD,209,60,A,2.4809,20251219
218,CCNRD,209,60,B,2.4934,20251219
219,CCNRD,210,60,A,2.5245,20251219
220,CCNRD,210,60,B,2.4997,20251219
221,CCNRD,211,60,A,2.5106,20251219
222,CCNRD,211,60,B,2.5308,20251219
223,CCNRD,212,60,A,2.5233,20251219
224,CCNRD,212,60,B,2.5181,20251219
225,CCNRD,301,60,A,2.5275,20251219
226,CCNRD,301,60,B,2.4783,20251219
227,CCNRD,302,60,A,2.5265,20251219
228,CCNRD,302,60,B,2.5072,20251219
229,CCNRD,303,60,A,2.4887,20251219
230,CCNRD,303,60,B,2.5159,20251219
231,CCNRD,304,60,A,2.4865,20251219
232,CCNRD,304,60,B,2.4945,20251219
233,CCNRD,305,60,A,2.5332,20251219
234,CCNRD,305,60,B,2.5006,20251219
235,CCNRD,306,60,A,2.4716,20251219
236,CCNRD,306,60,B,2.496,20251219
237,CCNRD,307,60,A,2.5331,20251219
238,CCNRD,307,60,B,2.5369,20251219
239,CCNRD,308,60,A,2.5037,20251219
240,CCNRD,308,60,B,2.5015,20251219
241,CCNRD,309,60,A,2.5131,20251219
242,CCNRD,309,60,B,2.4842,20251219
243,CCNRD,310,60,A,2.4779,20251219
244,CCNRD,310,60,B,2.532,20251219
245,CCNRD,311,60,A,2.5142,20251219
246,CCNRD,311,60,B,2.5068,20251219
247,CCNRD,312,60,A,2.5105,20251219
248,CCNRD,312,60,B,2.5265,20251219
249,CCNRD,401,60,A,2.5137,20251219
250,CCNRD,401,60,B,2.4994,20251219
251,CCNRD,402,60,A,2.5036,20251219
252,CCNRD,402,60,B,2.5104,20251219
253,CCNRD,403,60,A,2.4879,20251219
254,CCNRD,403,60,B,2.5251,20251219
255,CCNRD,404,60,A,2.4934,20251219
256,CCNRD,404,60,B,2.5076,20251219
257,CCNRD,405,60,A,2.5084,20251219
258,CCNRD,405,60,B,2.4838,20251219
259,CCNRD,406,60,A,2.5178,20251219
260,CCNRD,406,60,B,2.5136,20251219
261,CCNRD,407,60,A,2.4743,20251219
262,CCNRD,407,60,B,2.4879,20251219
263,CCNRD,408,60,A,2.5219,20251219
264,CCNRD,408,60,B,2.4966,20251219
265,CCNRD,101,90,A,2.4868,20251219
266,CCNRD,101,90,B,2.4655,20251219
267,CCNRD,102,90,A,2.5038,20251219
